Original,Resolved
"CHAIRMAN FRIEDMAN said ""Okay. Please let me know the end result of this issue, since Master Hanrahan contacted me for help. Next item, under 575-OC-5, we got a large batch of letters from FWS workers at Tobyhanna, I think in the vicinity of 400 letters. We are working out the logistics of how to share those with the members of the Committee. It appears that the easiest and best way to do that is to scan them and put them on a CD. We thought we'd have them by today, but it looks like it will be our next meeting, perhaps, before we will be able to share them. Continuing on to the next item, under 575-ACT-1, the folks at ACT have beaten Amazon.com to the punch and put our working group report on their Web page, so we have that to report. Terry Garnett sent us a letter with the link, which I have shared with you, if anybody is interested in an electronic copy of that working group report. Now, I would like to call on Jerry to see if there is any update on the draft proposed regulation to consolidate FWS wage areas.""","CHAIRMAN FRIEDMAN said ""Okay. Please let CHAIRMAN FRIEDMAN know the end result of this issue, since Master Hanrahan contacted CHAIRMAN FRIEDMAN for help. Next item, under 575-OC-5, we got a large batch of letters from FWS workers at Tobyhanna, CHAIRMAN FRIEDMAN think in the vicinity of 400 letters. we are working out the logistics of how to share those with the members of the Committee. It appears that the easiest and best way to do we is to scan those and put those on a CD. we thought we'd have those by today, but a CD looks like it will be we's next meeting, perhaps, before we will be able to share those. Continuing on to the next item, under 575-ACT-1, the folks at ACT have beaten Amazon.com to the punch and put we's working group report on the folks at ACT's Web page, so we have that to report. Terry Garnett sent we a letter with the link, which CHAIRMAN FRIEDMAN have shared with you, if anybody is interested in an electronic copy of that working group report. Now, CHAIRMAN FRIEDMAN would like to call on Jerry to see if there is any update on the draft proposed regulation to consolidate FWS wage areas."""
"MR. MIKOWICZ said ""I would like to report that the proposed regulations have cleared through the OPM program offices that ordinarily clear regulations, and they now reside with the Director of OPM. I had an occasion to speak with the Director Tuesday afternoon along with his Deputy Chief of Staff, Justin Johnson, and they acknowledged and confirmed that the proposed regulations are in fact with the Office of the Director and had no further comment.""","MR. MIKOWICZ said ""MR. MIKOWICZ would like to report that the proposed regulations have cleared through the OPM program offices that ordinarily clear regulations, and they now reside with the Director of OPM. MR. MIKOWICZ had an occasion to speak with the Director Tuesday afternoon along with the Director of OPM's Deputy Chief of Staff, Justin Johnson, and they acknowledged and confirmed that the proposed regulations are in fact with the Office of the Director and had no further comment."""
"CHAIRMAN FRIEDMAN said ""Thank you. I guess just two other quick announcements, while I've got this captive audience. The Government Accountability Office is working on a report on Federal pay comparability, which I believe will be released to the public very soon, if it hasn't already. It may be of some interest to this audience.""","CHAIRMAN FRIEDMAN said ""Thank you. CHAIRMAN FRIEDMAN guess just two other quick announcements, while CHAIRMAN FRIEDMAN've got this captive audience. The Government Accountability Office is working on a report on Federal pay comparability, which CHAIRMAN FRIEDMAN believe will be released to the public very soon, if The Government Accountability Office hasn't already. The Government Accountability Office may be of some interest to this audience."""
"MR. MIKOWICZ said ""It has not yet been released, but --""","MR. MIKOWICZ said ""It has not yet been released, but --"""
"CHAIRMAN FRIEDMAN said ""It is anticipated soon. And so people will probably hear about it when it comes out, but I just want to give folks a heads-up. It is something that was requested by Representative Issa, I believe, last March or thereabouts. And I just want to report briefly that I attended, just in the audience, an event that was sponsored by the Partnership for Public Service on June 13th, a Federal pay debate, which featured several of the folks who have done pay comparability studies, Federal, non-Federal, this fellow Andrew Biggs from American Enterprise Institute, somebody representing the CBO, and also Rex Facer, a member of the Federal Salary Council. And I felt badly for Rex. I thought he did a pretty good job in actual fact, but I think his remarks were rather badly distorted in the Federal Times. It was an interesting session, and people who want to learn more about this whole sort of debate and controversy might be interested in taking a look at the Web link or I believe they videotaped the event. There was not much of an opportunity to rebut the positions of the AEI fellow or even respond adequately to the CBO, but it was an interesting event. People might find it of some use to take a look at that. So, anyway, enough of that. That brings us up to the minutes of our April meeting. Have people had a chance to review them, and are there any further corrections or changes? Okay. Unless there's some objection, we will adopt those minutes. Hearing none, the minutes are adopted. That brings up old business items, of which we have five. I believe we had decided that all these items would be discussed in the working group, unless there's some comments here that people want to make about any of them. It might also be useful to have guidance about priority, the order in which we address them in the working group, if anyone has thoughts about that, and if not, we will just move on to new business. Okay. Under new business, we have two issues, both of which involve the regulation that MSAs should not be split between Federal Wage System wage areas except   in very unusual circumstances. If we can address them by consensus in here, that is great. If not, my suggestion would be to refer them to the working group, because there's a similar issue already there, and the general question of what to do about this long-standing regulation is something that is on the table in the working group. So if I could ask Mark to first summarize for us Item A. under New Business, Definition of Hickory-Lenoir-Morganton, North Carolina, MSA 575-MGT-1.""","CHAIRMAN FRIEDMAN said ""It is anticipated soon. And so people will probably hear about It when It comes out, but CHAIRMAN FRIEDMAN just want to give folks a heads-up. It is something that was requested by Representative Issa, CHAIRMAN FRIEDMAN believe, last March or thereabouts. And CHAIRMAN FRIEDMAN just want to report briefly that CHAIRMAN FRIEDMAN attended, just in the audience, an event that was sponsored by the Partnership for Public Service on June 13th, a Federal pay debate, which featured several of the folks who have done pay comparability studies, Federal, non-Federal, this fellow Andrew Biggs from American Enterprise Institute, somebody representing the CBO, and also Rex Facer, a member of the Federal Salary Council. And CHAIRMAN FRIEDMAN felt badly for Rex. CHAIRMAN FRIEDMAN thought several of the folks who have done pay comparability studies , Federal , non-Federal , this fellow Andrew Biggs from American Enterprise Institute , somebody representing the CBO , and also Rex Facer , a member of the Federal Salary Council did a pretty good job in actual fact, but CHAIRMAN FRIEDMAN think several of the folks who have done pay comparability studies , Federal , non-Federal , this fellow Andrew Biggs from American Enterprise Institute , somebody representing the CBO , and also Rex Facer , a member of the Federal Salary Council's remarks were rather badly distorted in the Federal Times. a pretty good job in actual fact was an interesting session, and people who want to learn more about this whole sort of debate and controversy might be interested in taking a look at the Web link or CHAIRMAN FRIEDMAN believe people videotaped the event. There was not much of an opportunity to rebut the positions of the AEI fellow or even respond adequately to the CBO, but an opportunity to rebut the positions of the AEI fellow was an interesting event. People might find an opportunity to rebut the positions of the AEI fellow of some use to take a look at an opportunity to rebut the positions of the AEI fellow. So, anyway, enough of that. people brings us up to the minutes of us's April meeting. Have people had a chance to review people, and are there any further corrections or changes? Okay. Unless there's some objection, us will adopt those minutes. Hearing none, the minutes are adopted. Hearing none brings up old business items, of which us have five. CHAIRMAN FRIEDMAN believe us had decided that all these items would be discussed in the working group, unless there's some comments here that people want to make about any of people. It might also be useful to have guidance about priority, the order in which us address people in the working group, if anyone has thoughts about the working group, and if not, us will just move on to new business. Okay. Under new business, us have two issues, both of which involve the regulation that MSAs should not be split between Federal Wage System wage areas except   in very unusual circumstances. If us can address MSAs by consensus in here, here is great. If not, CHAIRMAN FRIEDMAN's suggestion would be to refer MSAs to the working group, because there's a similar issue already there, and the general question of what to do about this long-standing regulation is something that is on the table in the working group. So if CHAIRMAN FRIEDMAN could ask Mark to first summarize for us Item A. under New Business, Definition of Hickory-Lenoir-Morganton, North Carolina, MSA 575-MGT-1."""
"MR. ALLEN said ""Okay. I would agree that it might not be necessary or advisable to move forward on these two new agenda items at the Committee meeting today, since we already are going to be considering the usefulness of the regulatory criterion for MSAs as they apply to areas of application, but if everybody wants to move forward with these today at this Committee, that's fine. But I would also note we don't have a quorum.""","MR. ALLEN said ""Okay. MR. ALLEN would agree that it might not be necessary or advisable to move forward on these two new agenda items at the Committee meeting today, since we already are going to be considering the usefulness of the regulatory criterion for MSAs as MSAs apply to areas of application, but if everybody wants to move forward with these today at this Committee, areas of application's fine. But MR. ALLEN would also note we don't have a quorum."""
"CHAIRMAN FRIEDMAN said ""So we couldnt actually adopt these?""","CHAIRMAN FRIEDMAN said ""So we couldnt actually adopt these?"""
"MR. ALLEN said ""No.""","MR. ALLEN said ""No."""
"CHAIRMAN FRIEDMAN said ""Is that under our rules?""","CHAIRMAN FRIEDMAN said ""Is that under our's rules?"""
"MR. FISHER said ""We don't have enough labor here, I think.""","MR. FISHER said ""We don't have enough labor here, MR. FISHER think."""
"CHAIRMAN FRIEDMAN said ""So in view of that --""","CHAIRMAN FRIEDMAN said ""So in view of that --"""
"MR. ALLEN said ""I can introduce them, anyways, just quickly.""","MR. ALLEN said ""MR. ALLEN can introduce them, anyways, just quickly."""
"CHAIRMAN FRIEDMAN said ""Well, okay.""","CHAIRMAN FRIEDMAN said ""Well, okay."""
"MR. ALLEN said ""It's just a matter of reading. I try not to be pedantic. Under 575-MGT-1, the Management members recommend that Alexander and Catawba Counties be redefined to the Asheville wage areas area of application. Alexander, Burke, Caldwell, and Catawba Counties, North Carolina, comprise the Hickory-Lenoir-Morganton, North Carolina, MSA, and that MSA is currently split between Asheville, North Carolina, and Charlotte, North Carolina, wage areas. Under OPM's regulatory criterion, unless there's some exceptional reason for having the MSA split, all the counties should be combined under one wage area. Under 575-MGT-2, we have a Management recommendation to move Mercer County to the Cleveland wage areas area of application. Trumbull and Mahoning Counties, Ohio, and Mercer County, Pennsylvania, comprise the Youngstown-Warren-Boardman, Ohio-Pennsylvania MSA. The Youngstown-Warren-Boardman, Ohio- Pennsylvania MSA is split between the Cleveland, OH, and Pittsburgh, PA, wage areas. And again, as with the previous case, that entire MSA under OPM's regulatory criterion currently should be combined under just one wage area.""","MR. ALLEN said ""It's just a matter of reading. MR. ALLEN try not to be pedantic. Under 575-MGT-1, the Management members recommend that Alexander and Catawba Counties be redefined to the Asheville wage areas area of application. Alexander, Burke, Caldwell, and Catawba Counties, North Carolina, comprise the Hickory-Lenoir-Morganton, North Carolina, MSA, and that MSA is currently split between Asheville, North Carolina, and Charlotte, North Carolina, wage areas. Under OPM's regulatory criterion, unless there's some exceptional reason for having the MSA split, all the counties should be combined under one wage area. Under 575-MGT-2, we have a Management recommendation to move Mercer County to the Cleveland wage areas area of application. Trumbull and Mahoning Counties, Ohio, and Mercer County, Pennsylvania, comprise the Youngstown-Warren-Boardman, Ohio-Pennsylvania MSA. The Youngstown-Warren-Boardman, Ohio- Pennsylvania MSA is split between the Cleveland, OH, and Pittsburgh, PA, wage areas. And again, as with the previous case, that entire MSA under OPM's regulatory criterion currently should be combined under just one wage area."""
"CHAIRMAN FRIEDMAN said ""Okay. Well, I guess we will just defer any further action on those, since we don't really have a quorum. The other new business item is something that AFGE has proposed, which is to review the Federal Wage System Appropriated and Nonappropriated Fund Operating Manuals, which I think is an interesting and in many ways good idea, but since the AFGE members are not here, we probably ought to just kick that can down the road too.""","CHAIRMAN FRIEDMAN said ""Okay. Well, CHAIRMAN FRIEDMAN guess we will just defer any further action on those, since we don't really have a quorum. The other new business item is something that AFGE has proposed, which is to review the Federal Wage System Appropriated and Nonappropriated Fund Operating Manuals, which CHAIRMAN FRIEDMAN think is an interesting and in many ways good idea, but since the AFGE members are not here, we probably ought to just kick we can down the road too."""
"MR. ALLEN said ""I had a brief conversation with Jacque a couple of weeks ago about some questions that she received that were not covered in the Appropriated Fund Operating Manual or were insufficiently covered, but I haven't heard what the exact proposals would be for adding something to the Operating Manuals or whether it might be more appropriate to add something to regulation. Regulation tends to be more permanent, because of the Administrative Procedures Act public comment period. So once we do have something before us, you can take a look at it and see what the appropriate way of handling would be, with the Committee's advice.""","MR. ALLEN said ""MR. ALLEN had a brief conversation with Jacque a couple of weeks ago about some questions that a couple of weeks received some questions were not covered in the Appropriated Fund Operating Manual or were insufficiently covered, but MR. ALLEN haven't heard what the exact proposals would be for adding something to the Operating Manuals or whether it might be more appropriate to add something to regulation. Regulation tends to be more permanent, because of the Administrative Procedures Act public comment period. So once we do have something before we, you can take a look at a look and see what the appropriate way of handling would be, with the Committee's advice."""
"CHAIRMAN FRIEDMAN said ""Okay. So we will address that next time. Unless there is any further -- yes, sir?""","CHAIRMAN FRIEDMAN said ""Okay. So we will address that next time. Unless there is any further -- yes, sir?"""
"MR. SHULMAN said ""I just wanted to make note of a new member of the wage staff, appropriated fund side. Mr. Gary Kistner, who introduced himself up front, has taken over for Karl Fendt in his analyst role. He was on the NAF side of the house until a couple weeks ago.""","MR. SHULMAN said ""MR. SHULMAN just wanted to make note of a new member of the wage staff, appropriated fund side. Mr. Gary Kistner, who introduced Gary Kistner up front, has taken over for Karl Fendt in Gary Kistner's analyst role. Gary Kistner was on the NAF side of the house until a couple weeks ago."""
"MR. ALLEN said ""Another turncoat.""","MR. ALLEN said ""Another turncoat."""
"MR. KISTNER said ""Good morning, everyone.""","MR. KISTNER said ""Good morning, everyone."""
"MR. SHULMAN said ""This is his first and certainly not his last FPRAC meeting, so I want everyone to know who he is.""","MR. SHULMAN said ""This is his's first and certainly not his's last FPRAC meeting, so MR. SHULMAN want everyone to know who his is."""
"CHAIRMAN FRIEDMAN said ""Welcome. Thank you for joining us.""","CHAIRMAN FRIEDMAN said ""Welcome. Thank you for joining us."""
"MR. KISTNER said ""Thank you.""","MR. KISTNER said ""Thank you."""
"MR. CHASE said ""This is my first meeting as well. Ann Marie Hannon was the VA representative. She had an advancement opportunity at the Department of Homeland Security, which she took advantage of, and she started there this week. So I'll be representing VA from here. I am the Human Resources Management Policy and Planning person for Veterans Affairs.""","MR. CHASE said ""This is MR. CHASE's first meeting as well. Ann Marie Hannon was the VA representative. Ann Marie Hannon had an advancement opportunity at the Department of Homeland Security, which Ann Marie Hannon took advantage of, and Ann Marie Hannon started there this week. So MR. CHASE'll be representing VA from here. MR. CHASE am the Human Resources Management Policy and Planning person for Veterans Affairs."""
"CHAIRMAN FRIEDMAN said ""And welcome to you as well. Thank you for joining us. We appreciate that. Well, unless there's some objection -- well, is there any other new business? Are there any other items people want to bring up? If not, we can begin our working group meeting in 10 minutes in the Small Pendleton Room. Is there a motion to adjourn?""","CHAIRMAN FRIEDMAN said ""And welcome to you as well. Thank you for joining us. us appreciate that. Well, unless there's some objection -- well, is there any other new business? Are there any other items people want to bring up? If not, us can begin us's working group meeting in 10 minutes in the Small Pendleton Room. Is there a motion to adjourn?"""
"MR. PHELPS said ""Motion to adjourn.""","MR. PHELPS said ""Motion to adjourn."""
"MR. SHULMAN said ""Motion seconded.""","MR. SHULMAN said ""Motion seconded."""
"CHAIRMAN FRIEDMAN said ""Hearing no objection, we are adjourned. --""","CHAIRMAN FRIEDMAN said ""Hearing no objection, we are adjourned. --"""
